index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$13.21,"0.02
(-0.15%)","$13.10
-
$13.54","315,396","371,873","$4,182,371",$13.50,$13.14 - $13.51,$13.26,$13.23,6:58pm 03/11 (AEDT),+0.53%,-5.03%,+21.75%,+7.31%,+1.13%,+5.56%,"$3,393,654,416","123 of 2,408",11 of 150,"256,900,410",Consumer Cyclical,BRG / PMV / SUL,$1.083,$0.73,$1.359,"11 Buy
· 6 Hold
· 2 Sell",Buy,01/10/23,APE
Value,$13.31,"0.01
(0.08%)","$13.20
-
$13.34","774,318","868,298","$10,311,787",$13.40,$13.23 - $13.40,$13.32,$13.30,6:58pm 03/11 (AEDT),+4.31%,+12.61%,+24.28%,+31.26%,+25.08%,+29.51%,"$3,005,750,715","134 of 2,408",13 of 150,"225,826,500",Consumer Cyclical,BRG / APE / ARB,$1.154,$1.03,$2.308,"3 Buy
· 9 Hold
· 8 Sell",Sell,01/10/23,SUL
Value,$18.48,"0.08
(0.44%)","$18.40
-
$18.80","337,637","270,259","$6,256,288",$18.69,$18.305 - $18.85,$18.53,$18.40,6:58pm 03/11 (AEDT),+5.78%,-2.84%,-20.03%,-23.73%,-29.92%,-25.49%,"$2,027,119,969","182 of 2,408",17 of 150,"109,692,639",Consumer Cyclical,BAP / TAH / IVC,$0.619,$0.69,$0.69,"12 Buy
· 3 Hold
· 2 Sell",Buy,01/10/23,LOV
Value,$5.54,"0.07
(-1.25%)","$5.53
-
$5.60","759,049","1,176,056","$4,248,839",$5.72,$5.54 - $5.72,$5.60,$5.61,6:58pm 03/11 (AEDT),+2.40%,-18.17%,-14.24%,-17.56%,-23.75%,-19.31%,"$1,880,345,250","191 of 2,408",18 of 150,"339,412,500",Consumer Cyclical,TAH / IVC / LOV,$0.362,$0.22,$0.959,"7 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,BAP
Value,$1.955,"0.02
(1.03%)","$1.945
-
$1.96","1,673,098","825,084","$3,260,834",$1.935,$1.935 - $1.975,$1.953,$1.935,6:58pm 03/11 (AEDT),+8.01%,+0.51%,+16.37%,+26.54%,+20.35%,+24.78%,"$1,100,768,998","282 of 2,408",26 of 150,"563,053,196",Consumer Cyclical,CKF / CTT / PWH,$0.156,$0.175,$0.105,"7 Buy
· 5 Hold
· 2 Sell",Buy,01/10/23,AX1
Value,$4.42,"0.00
(0.00)","$4.42
-
$4.67",0,58,$0,‐,‐ - ‐,‐,$4.42,6:58pm 03/11 (AEDT),0.00,+0.23%,-12.99%,-12.99%,-19.18%,-14.75%,"$984,624,739","300 of 2,408",29 of 150,"222,765,778",Consumer Cyclical,PWH / NCK / CTT,$0.384,$0.2662,$1.376,"0 Buy
· 4 Hold
· 4 Sell",Sell,01/10/23,BGP
Value,$22.45,"0.70
(3.22%)","$21.90
-
$22.52","277,724","231,182","$6,240,655",$22.48,$22.30 - $22.65,$22.47,$21.75,6:58pm 03/11 (AEDT),+2.93%,+2.89%,+22.34%,+10.70%,+4.52%,+8.95%,"$3,219,899,063","128 of 2,408",12 of 150,"143,425,348",Consumer Cyclical,APE / SUL / PMV,$0.766,$0.305,$2.584,"7 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,BRG
Value,$8.41,"0.41
(-4.65%)","$8.41
-
$8.45","9,958","2,086","$84,321",$8.50,$8.40 - $8.50,$8.47,$8.82,6:58pm 03/11 (AEDT),-11.47%,-8.09%,-15.90%,-23.55%,-29.73%,-25.30%,"$245,656,941","633 of 2,408",54 of 150,"29,210,100",Consumer Cyclical,PBH / UNI / BBN,-$0.377,$0.00,-$0.081,,,,AKP
Value,$1.65,"0.01
(-0.60%)","$1.65
-
$1.71","23,572","87,944","$39,066",$1.66,$1.65 - $1.66,$1.6575,$1.66,6:58pm 03/11 (AEDT),+1.54%,-10.33%,+16.20%,+9.63%,+3.45%,+7.88%,"$155,569,555","774 of 2,408",67 of 150,"94,284,579",Consumer Cyclical,MTO / RBL / RCT,$0.022,$0.021,$1.254,"4 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,FWD
Value,$4.20,"0.00
(0.00)","$4.00
-
$4.20",0,568,$0,‐,‐ - ‐,‐,$4.20,6:58pm 03/11 (AEDT),+0.24%,+0.48%,+2.69%,+5.00%,-1.19%,+3.25%,"$147,776,021","792 of 2,408",70 of 150,"35,184,767",Consumer Cyclical,RBL / MTO / FWD,$0.307,$0.10,$3.402,,,,WAT
Value,$0.26,"0.005
(1.96%)","$0.26
-
$0.28","144,845","351,328","$37,365",$0.26,$0.25 - $0.26,$0.258,$0.255,6:58pm 03/11 (AEDT),+1.96%,-23.80%,-25.68%,-21.82%,-20.32%,-23.57%,"$129,125,298","835 of 2,408",73 of 150,"496,635,761",Consumer Cyclical,GLB / STP / VVA,$0.045,$0.011,$0.846,,,,AVJ
Value,$3.10,"0.05
(1.64%)","$2.85
-
$3.09",526,"1,341","$1,631",$3.10,$3.10 - $3.10,$3.10,$3.05,6:58pm 03/11 (AEDT),+1.64%,+1.64%,+3.33%,+3.68%,-2.51%,+1.93%,"$128,537,836","838 of 2,408",74 of 150,"41,463,818",Consumer Cyclical,AVJ / STP / VVA,$0.038,$0.07,$1.694,,,,GLB
Value,$2.63,"0.09
(3.54%)","$2.63
-
$2.68","19,621","6,969","$51,593",$2.57,$2.57 - $2.65,$2.63,$2.54,6:58pm 03/11 (AEDT),+9.58%,+22.33%,+13.85%,+9.58%,+3.40%,+7.83%,"$93,198,631","940 of 2,408",81 of 150,"35,436,742",Consumer Cyclical,FUN / BET / ABY,$0.06,$0.13,$0.749,,,,TWD
Value,$0.845,"0.00
(0.00)","$0.84
-
$0.845","41,138","15,859","$34,729",$0.845,$0.84 - $0.845,$0.844,$0.845,6:58pm 03/11 (AEDT),-0.59%,0.00,+9.74%,+8.33%,+2.15%,+6.58%,"$81,471,241","987 of 2,408",86 of 150,"96,415,670",Consumer Cyclical,JYC / SGH / BET,$0.101,$0.135,$0.707,,,,SHM
Value,$0.18,"0.03
(20.00%)","$0.145
-
$0.18","164,711","5,199","$27,891",$0.15,$0.15 - $0.18,$0.1695,$0.15,6:58pm 03/11 (AEDT),+20.00%,+12.50%,+50.00%,+11.73%,+5.54%,+9.97%,"$64,783,161","1,070 of 2,408",91 of 150,"359,906,450",Consumer Cyclical,CCX / KED / DSK,-$0.137,$0.00,$0.025,,,,SIO
Value,$0.1875,"0.0025
(1.35%)","$0.185
-
$0.19","10,000","44,243","$1,888",$0.19,$0.1875 - $0.19,$0.189,$0.185,6:58pm 03/11 (AEDT),+1.35%,-10.71%,-34.21%,-37.50%,-43.69%,-39.25%,"$53,252,745","1,145 of 2,408",95 of 150,"284,014,642",Consumer Cyclical,EBG / RDH / DSK,$0.013,$0.01,$0.291,,,,GAP
Value,$39.32,"0.22
(0.56%)","$39.10
-
$39.63","782,289","1,195,642","$30,772,436",$39.80,$39.15 - $39.81,$39.335,$39.10,6:58pm 03/11 (AEDT),+0.49%,-3.15%,+28.83%,+5.22%,-0.97%,+3.46%,"$25,501,382,817","16 of 2,408",2 of 150,"648,560,092",Consumer Cyclical,TLC / CWN / IEL,$1.641,$0.56,$3.287,"13 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,ALL
Value,$117.93,"4.14
(3.64%)","‐
-
‐","127,849","91,994","$15,083,912",$117.78,$116.24 - $117.93,$117.56,$113.79,6:58pm 03/11 (AEDT),-0.54%,+6.68%,+29.59%,+29.59%,-,+27.84%,"$1,724,849,369","211 of 2,408",21 of 150,"14,626,044",Consumer Cyclical,IVC / SGR / TAH,$0.46,$0.00,-$31.426,"10 Buy
· 4 Hold
· 0 Sell",Strong Buy,01/10/23,LNW
Value,$4.60,"0.02
(-0.43%)","$4.57
-
$4.61","2,926,372","3,740,443","$13,495,257",$4.68,$4.57 - $4.68,$4.61,$4.62,6:58pm 03/11 (AEDT),+3.60%,-1.08%,+2.68%,+7.48%,-,+5.72%,"$10,238,549,834","49 of 2,408",3 of 150,"2,225,771,703",Consumer Cyclical,CWN / IEL / JBH,$0.119,$0.15,-$1.216,"10 Buy
· 8 Hold
· 0 Sell",Buy,01/10/23,TLC
Value,$23.20,"0.46
(2.02%)","$23.18
-
$23.50","623,214","992,837","$14,414,485",$23.30,$22.80 - $23.39,$23.13,$22.74,6:58pm 03/11 (AEDT),+3.85%,+9.07%,-14.64%,-19.44%,-25.63%,-21.20%,"$6,457,400,095","78 of 2,408",5 of 150,"278,336,211",Consumer Cyclical,JBH / DMP / HVN,$0.533,$0.41,-$0.075,"12 Buy
· 3 Hold
· 2 Sell",Buy,01/10/23,IEL
Value,$51.95,"0.63
(1.23%)","$51.81
-
$52.00","358,193","321,427","$18,683,487",$52.28,$51.80 - $52.85,$52.13,$51.32,6:58pm 03/11 (AEDT),+3.94%,+1.84%,-21.58%,-1.94%,-8.13%,-3.70%,"$4,665,552,510","99 of 2,408",7 of 150,"89,808,518",Consumer Cyclical,HVN / JBH / FLT,$0.761,$1.10,-$7.52,"8 Buy
· 7 Hold
· 3 Sell",Hold,01/10/23,DMP
Value,$19.07,"0.16
(0.85%)","$19.00
-
$19.08","548,906","984,113","$10,463,238",$19.02,$18.93 - $19.175,$19.06,$18.91,6:58pm 03/11 (AEDT),+4.90%,-0.21%,+31.61%,+12.91%,+6.72%,+11.15%,"$4,184,486,392","107 of 2,408",9 of 150,"219,427,708",Consumer Cyclical,HVN / PMV / DMP,$0.225,$0.18,$0.367,"13 Buy
· 6 Hold
· 1 Sell",Buy,01/10/23,FLT
Value,$16.92,"0.10
(0.60%)","$16.89
-
$16.95","311,741","442,415","$5,289,803",$17.10,$16.87 - $17.18,$16.97,$16.82,6:58pm 03/11 (AEDT),+1.68%,+2.67%,+14.87%,-3.37%,-9.56%,-5.12%,"$2,475,831,622","159 of 2,408",15 of 150,"146,325,746",Consumer Cyclical,WEB / ARB / LOV,$0.529,$0.28,$1.115,"15 Buy
· 4 Hold
· 2 Sell",Buy,01/10/23,CTD
Value,$6.27,"0.08
(1.29%)","$6.25
-
$6.29","1,048,677","1,355,905","$6,597,155",$6.30,$6.26 - $6.34,$6.29,$6.19,6:58pm 03/11 (AEDT),+3.47%,-5.00%,+1.46%,+19.20%,+13.02%,+17.45%,"$2,420,108,106","162 of 2,408",16 of 150,"385,982,154",Consumer Cyclical,CTD / ARB / LOV,$0.038,$0.00,$0.082,"12 Buy
· 6 Hold
· 1 Sell",Buy,01/10/23,WEB
Value,$0.815,"0.00
(0.00)","$0.81
-
$0.825","3,166,111","6,794,018","$2,587,912",$0.825,$0.81 - $0.83,$0.8175,$0.815,6:58pm 03/11 (AEDT),+3.16%,-12.83%,-24.19%,-15.10%,-21.29%,-16.86%,"$1,860,164,956","193 of 2,408",19 of 150,"2,282,410,989",Consumer Cyclical,BAP / IVC / LNW,$0.029,$0.023,-$0.213,"9 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,TAH
Value,$12.67,"0.01
(0.08%)","$12.66
-
$12.69","2,312,768","498,571","$29,311,710",$12.68,$12.66 - $12.69,$12.675,$12.66,7:01pm 03/11 (AEDT),+0.24%,+0.88%,+14.87%,+22.06%,+15.88%,+20.31%,"$1,825,249,487","197 of 2,408",20 of 150,"144,060,733",Consumer Cyclical,TAH / BAP / LNW,$0.135,$0.11,$2.157,"0 Buy
· 7 Hold
· 4 Sell",Sell,01/10/23,IVC
Value,$35.50,"0.40
(1.14%)","$35.50
-
$35.54","1,874,760","1,876,943","$66,488,070",$35.38,$35.18 - $35.60,$35.435,$35.10,6:58pm 03/11 (AEDT),+0.91%,-3.72%,+5.78%,+10.76%,+12.77%,+9.01%,"$43,366,233,030","13 of 2,408",1 of 99,"1,221,584,029",Consumer Defensive,COL / CCL / EDV,$1.323,$1.04,$0.601,"10 Buy
· 6 Hold
· 3 Sell",Buy,01/10/23,WOW
Value,$15.45,"0.12
(0.78%)","$15.39
-
$15.47","2,191,862","2,769,498","$33,877,362",$15.57,$15.38 - $15.57,$15.455,$15.33,6:58pm 03/11 (AEDT),+3.14%,-0.13%,-7.60%,-4.28%,-2.27%,-6.03%,"$20,678,149,200","21 of 2,408",2 of 99,"1,338,391,534",Consumer Defensive,CCL / EDV / TWE,$0.779,$0.66,$0.987,"3 Buy
· 10 Hold
· 8 Sell",Sell,01/10/23,COL
Value,$5.01,"0.08
(1.62%)","$5.00
-
$5.03","4,089,519","4,594,666","$20,540,227",$4.97,$4.94 - $5.06,$5.015,$4.93,6:58pm 03/11 (AEDT),+3.30%,-4.21%,-21.96%,-28.63%,-,-30.39%,"$8,972,809,885","53 of 2,408",4 of 99,"1,790,980,017",Consumer Defensive,CCL / TWE / MTS,$0.295,$0.293,-$0.308,"7 Buy
· 6 Hold
· 3 Sell",Hold,01/10/23,EDV
Value,$3.74,"0.02
(0.54%)","$3.73
-
$3.76","2,821,272","2,448,800","$10,560,793",$3.74,$3.72 - $3.775,$3.745,$3.72,6:58pm 03/11 (AEDT),+2.75%,+0.27%,-6.03%,-6.03%,-4.02%,-7.78%,"$3,654,204,651","115 of 2,408",6 of 99,"977,060,067",Consumer Defensive,A2M / BKL / GNC,$0.267,$0.225,$0.183,"8 Buy
· 5 Hold
· 2 Sell",Buy,01/10/23,MTS
Value,$7.14,"0.10
(1.42%)","$7.06
-
$7.15","403,841","484,478","$2,888,824",$7.15,$7.11 - $7.22,$7.155,$7.04,6:58pm 03/11 (AEDT),+5.47%,+5.31%,-3.77%,-13.45%,-11.45%,-15.21%,"$1,601,766,159","227 of 2,408",9 of 99,"224,336,997",Consumer Defensive,UMG / CGC / ING,$1.487,$0.54,$6.034,"7 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,GNC
Value,$0.066,"0.003
(4.76%)","$0.066
-
$0.07","454,964","161,094","$29,583",$0.065,$0.065 - $0.066,$0.065,$0.063,6:58pm 03/11 (AEDT),-5.71%,-8.33%,-49.23%,-68.57%,-74.76%,-70.33%,"$25,961,742","1,438 of 2,408",55 of 99,"393,359,730",Consumer Defensive,WNX / BXN / SFG,-$0.004,$0.00,-$0.17,,,,MMM
Value,$34.01,"0.16
(0.47%)","$34.00
-
$34.05","4,262,254","5,111,264","$145,184,300",$34.10,$33.81 - $34.28,$34.01,$33.85,6:58pm 03/11 (AEDT),-2.55%,-6.18%,-4.03%,-7.43%,-3.44%,-9.19%,"$64,576,479,712","8 of 2,408",1 of 171,"1,898,749,771",Energy,WPL / STO / OSH,$3.734,$3.3974,$16.707,"8 Buy
· 7 Hold
· 4 Sell",Hold,01/10/23,WDS
Value,$7.42,"0.09
(-1.20%)","$7.39
-
$7.45","10,850,167","8,129,617","$80,681,152",$7.59,$7.36 - $7.60,$7.435,$7.51,6:58pm 03/11 (AEDT),-4.75%,-5.72%,+3.92%,-5.12%,-1.12%,-6.87%,"$24,098,475,371","17 of 2,408",3 of 171,"3,247,772,961",Energy,WPL / OSH / ALD,$0.523,$0.3576,$4.204,"15 Buy
· 4 Hold
· 0 Sell",Strong Buy,01/10/23,STO
Value,$33.08,"0.33
(1.01%)","$32.90
-
$33.20","664,103","750,220","$21,967,524",$33.19,$32.96 - $33.25,$33.08,$32.75,6:58pm 03/11 (AEDT),+4.12%,-2.22%,+16.97%,+19.55%,+23.54%,+17.80%,"$7,883,033,435","66 of 2,408",5 of 171,"238,302,099",Energy,OSH / YAL / WHC,$0.535,$2.50,$8.53,"11 Buy
· 3 Hold
· 0 Sell",Strong Buy,01/10/23,ALD
Value,$4.71,"0.07
(-1.46%)","$4.70
-
$4.72","1,437,445","1,718,133","$6,783,177",$4.80,$4.68 - $4.84,$4.72,$4.78,6:58pm 03/11 (AEDT),-5.23%,-9.94%,-22.28%,-9.42%,-5.43%,-11.18%,"$6,219,269,748","84 of 2,408",6 of 171,"1,320,439,437",Energy,WHC / NHC / ALD,$2.124,$1.07,$5.979,"4 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,YAL
Value,$7.15,"0.14
(-1.92%)","$7.15
-
$7.16","4,881,885","8,099,005","$35,087,164",$7.33,$7.135 - $7.38,$7.185,$7.29,6:58pm 03/11 (AEDT),-7.98%,-0.56%,-24.10%,-24.02%,-20.03%,-25.77%,"$5,981,695,606","87 of 2,408",7 of 171,"836,600,784",Energy,YAL / NHC / VEA,$3.028,$0.74,$6.273,"6 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,WHC
Value,$9.69,"0.16
(1.68%)","$9.64
-
$9.85","1,887","34,016","$18,508",$9.60,$9.60 - $9.85,$9.81,$9.53,6:58pm 03/11 (AEDT),+3.42%,+3.42%,+45.71%,+59.37%,+63.37%,+57.62%,"$256,271,769","618 of 2,408",28 of 171,"26,447,035",Energy,HZN / CVN / COE,-$0.14,$0.00,$0.849,"15 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,NXG
Value,$5.43,"0.04
(-0.73%)","$5.43
-
$5.52","3,631,956","3,651,414","$19,665,217",$5.53,$5.38 - $5.57,$5.415,$5.47,6:58pm 03/11 (AEDT),-10.54%,-15.29%,-14.62%,-10.84%,-6.85%,-12.59%,"$4,590,171,570","102 of 2,408",8 of 171,"845,335,464",Energy,VEA / BPT / WHC,$1.186,$0.96,$2.902,"0 Buy
· 4 Hold
· 7 Sell",Strong Sell,01/10/23,NHC
Value,$2.88,"0.03
(1.05%)","$2.85
-
$2.89","10,554,541","4,478,451","$30,358,913",$2.89,$2.84 - $2.89,$2.87,$2.85,6:58pm 03/11 (AEDT),+1.41%,-4.00%,+5.49%,+1.41%,+5.40%,-0.35%,"$4,447,198,791","104 of 2,408",9 of 171,"1,544,166,247",Energy,NHC / BPT / PDN,-$0.056,$0.218,$1.141,"7 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,VEA
Value,$1.525,"0.02
(-1.29%)","$1.525
-
$1.53","5,569,880","6,835,981","$8,542,828",$1.575,$1.525 - $1.575,$1.534,$1.545,6:58pm 03/11 (AEDT),-0.97%,-6.44%,-4.39%,-5.57%,-1.58%,-7.33%,"$3,479,033,825","121 of 2,408",10 of 171,"2,281,333,656",Energy,PDN / VEA / NHC,$0.176,$0.04,$1.666,"12 Buy
· 5 Hold
· 3 Sell",Buy,01/10/23,BPT
Value,$1.005,"0.015
(-1.47%)","$1.00
-
$1.01","21,560,872","17,898,358","$21,900,947",$1.04,$1.00 - $1.05,$1.016,$1.02,6:58pm 03/11 (AEDT),+1.52%,-8.64%,+43.57%,+21.82%,+25.81%,+20.06%,"$2,998,292,411","136 of 2,408",11 of 171,"2,983,375,533",Energy,BPT / ZEL / BOE,-$0.004,$0.00,$0.031,"8 Buy
· 2 Hold
· 1 Sell",Buy,01/10/23,PDN
Value,$22.04,"0.37
(1.71%)","$22.01
-
$22.15","4,016,206","3,131,924","$88,933,123",$22.49,$21.95 - $22.58,$22.145,$21.67,6:58pm 03/11 (AEDT),+9.38%,+1.71%,+26.96%,+29.88%,+31.38%,+28.12%,"$41,857,972,845","14 of 2,408",1 of 99,"1,899,182,071",Real Estate,SCG / SGP / VCX,$0.813,$0.30,$9.043,"14 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,GMG
Value,$2.58,"0.06
(2.38%)","$2.56
-
$2.59","11,435,568","10,571,001","$29,482,262",$2.57,$2.56 - $2.60,$2.58,$2.52,6:58pm 03/11 (AEDT),+6.61%,+4.45%,-10.42%,-10.42%,-8.92%,-12.17%,"$13,391,176,115","34 of 2,408",2 of 99,"5,190,378,339",Real Estate,SGP / VCX / MGR,-$0.006,$0.165,$3.57,"10 Buy
· 3 Hold
· 2 Sell",Buy,01/10/23,SCG
Value,$4.18,"0.27
(6.91%)","$4.06
-
$4.20","555,107","234,822","$2,323,896",$4.16,$4.16 - $4.21,$4.185,$3.91,6:58pm 03/11 (AEDT),+21.51%,+8.85%,+8.29%,+10.88%,+12.38%,+9.12%,"$635,739,460","388 of 2,408",41 of 99,"152,090,780",Real Estate,PWG / QAL / RFF,-$0.346,$0.00,$6.213,"9 Buy
· 8 Hold
· 5 Sell",Hold,01/10/23,URW
Value,$3.73,"0.07
(1.91%)","$3.72
-
$3.75","10,141,246","6,461,825","$37,790,904",$3.70,$3.69 - $3.75,$3.73,$3.66,6:58pm 03/11 (AEDT),+4.78%,-4.36%,+2.75%,+7.80%,+9.30%,+6.05%,"$8,904,150,299","55 of 2,408",3 of 99,"2,387,171,662",Real Estate,VCX / MGR / GPT,$0.182,$0.262,$2.243,"7 Buy
· 4 Hold
· 3 Sell",Hold,01/10/23,SGP
Value,$1.795,"0.025
(1.41%)","$1.79
-
$1.805","18,463,593","12,035,124","$33,267,610",$1.81,$1.795 - $1.825,$1.801,$1.77,6:58pm 03/11 (AEDT),+4.66%,+4.97%,-10.25%,-5.77%,-4.27%,-7.53%,"$8,171,334,268","63 of 2,408",4 of 99,"4,552,275,358",Real Estate,MGR / GPT / SGP,$0.06,$0.12,$2.301,"1 Buy
· 11 Hold
· 6 Sell",Sell,01/10/23,VCX
Value,$1.945,"0.04
(2.10%)","$1.93
-
$1.95","14,662,763","11,920,309","$28,638,387",$1.95,$1.92 - $1.97,$1.9475,$1.905,6:58pm 03/11 (AEDT),+3.46%,-8.69%,-8.69%,-4.19%,-2.69%,-5.94%,"$7,674,698,122","69 of 2,408",5 of 99,"3,945,860,217",Real Estate,GPT / DXS / VCX,-$0.042,$0.105,$2.656,"3 Buy
· 5 Hold
· 8 Sell",Sell,01/10/23,MGR
Value,$3.89,"0.08
(2.10%)","$3.86
-
$3.90","7,198,814","4,961,637","$27,992,625",$3.92,$3.85 - $3.93,$3.89,$3.81,6:58pm 03/11 (AEDT),+9.58%,-0.26%,-7.38%,-9.95%,-8.45%,-11.71%,"$7,451,596,203","70 of 2,408",6 of 99,"1,915,577,430",Real Estate,DXS / MGR / VCX,-$0.033,$0.248,$5.978,"8 Buy
· 3 Hold
· 4 Sell",Hold,01/10/23,GPT
Value,$6.89,"0.17
(2.53%)","$6.84
-
$6.94","2,937,146","3,542,683","$20,248,239",$6.89,$6.85 - $6.94,$6.895,$6.72,6:58pm 03/11 (AEDT),+5.67%,-5.49%,-11.10%,-9.34%,-7.84%,-11.10%,"$7,410,644,545","71 of 2,408",7 of 99,"1,075,565,246",Real Estate,GPT / MGR / VCX,-$0.637,$0.516,$10.771,"9 Buy
· 4 Hold
· 2 Sell",Buy,01/10/23,DXS
Value,$9.77,"0.35
(3.72%)","$9.65
-
$9.86","1,851,170","1,554,849","$18,025,975",$9.69,$9.54 - $9.81,$9.74,$9.42,6:58pm 03/11 (AEDT),+11.91%,+2.30%,-18.45%,-25.42%,-23.92%,-27.17%,"$4,621,182,634","100 of 2,408",8 of 99,"472,997,199",Real Estate,LLC / SCP / NSR,$0.407,$0.4254,$6.642,"9 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,CHC
